sale_def,bed,bath,area_heated,area,dist_cbd,dist_lakes,pool
357065,3,2.5,2380,6137,4856.21,583.19,0
98008,3,2,1216,5061,17223.57,1368.93,0
205109,4,2,2023,9489,23387.19,488.05,0
333139,5,3,3585,15741,14821.24,665.66,1
119703,3,2.5,1428,2947,14748.29,188.42,0
54374,1,1,1628,6799,3045.28,445.48,0
103019,3,2,1452,10070,9258.93,1167.68,0
148361,3,2,1483,5000,19100.92,1991.3,0
183297,4,2,2206,8629,14357.54,500.85,0
103027,4,3,2257,9839,8979.09,2431.4,0
211113,3,2,2216,9267,23845.64,192.43,0
102691,3,2,1093,6571,10437.99,197.35,0
89282,3,2,1066,7383,15276.96,452.97,0
174561,3,2,1944,11595,14313.63,926.03,0
159065,2,1,1173,7800,3127.5,135.38,0
180685,4,3,2371,11628,14865.62,387.33,0
170468,3,2.5,1850,2555,15253.9,849.92,0
148918,3,2,1432,11299,11356.51,2177.78,0
102908,2,1,1056,9077,5141.07,245.17,0
221055,6,4,4022,10874,21265.74,152.03,0
217022,3,2.5,2486,13931,20416.85,1044.64,0
248272,4,2,1653,7692,3935.29,21.87,0
235756,5,3,3163,9003,16361.97,732.89,1
258931,4,3,2579,18526,25898.39,1500.95,1
149724,4,2.5,2320,7194,21537.47,634.07,0
112279,3,2,1579,5720,14110.84,2602.12,0
275942,4,3,3876,9718,21792.94,1270.48,0
512146,4,3.5,3992,43573,17531.27,153.53,1
541468,5,4.5,4062,17158,19329.41,448.73,1
170124,4,2,1861,10586,20028.91,7567.83,0
159964,3,2,1985,6881,19336.48,3769.72,0
128519,3,2,1714,5002,19887.7,727.82,0
15296,2,1,964,4107,19193.45,1462.69,0
273113,4,3,2894,5500,21473.19,1515.26,0
125799,3,2,1828,8476,12155.24,261.81,0
146683,2,1,836,9174,1973.98,219.21,0
170037,4,2.5,2268,5568,13567.19,3855.94,1
135529,3,2,1842,23009,10021.18,852.63,0
68519,3,2,1000,6757,11585.43,3310.35,0
191741,4,3,2361,6763,21643.43,131.26,0
135838,3,2.5,2004,7440,21267.77,4320.37,1
124491,4,2,1884,9975,11398.27,361.07,0
221163,4,2,2411,12262,12458.91,343.64,1
171619,4,3,2340,5167,9668.89,500.12,1
159457,3,3,2127,4611,23435.08,392.63,1
342704,3,2,2555,13051,2463.62,136.59,0
141908,3,2,1793,8623,13557.86,395.83,0
101830,4,2,1451,3399,15323.67,357.04,0
125941,2,1,754,6363,6777.51,971.22,0
301679,4,4,3470,11275,20388.63,483.02,0
130408,3,2,1652,5539,21469.36,7019.31,0
224317,4,2.5,2293,10959,12357.32,251.57,1
157103,3,3,1713,7654,19081.35,647.54,0
90567,3,2,1119,8291,6521.01,340.46,0
138282,3,2,1671,23248,11559.62,72.23,0
143703,4,2,1690,5635,19144.61,2049.89,0
1272979,4,5,4860,23146,7806.76,175.23,1
368132,5,5,3463,14088,13384.32,671.6,1
336061,4,3,3572,28905,18223.28,25.39,1
114021,4,2,1498,7249,8295.55,539.52,0
116830,2,2,1118,5926,8722.83,864.46,0
147294,3,2,1456,9101,13509.04,245.43,0
89186,2,2,1022,4878,12818.51,636.72,0
136081,3,3,1387,2743,22252.91,490.36,0
271089,3,2,2965,7499,15708.93,2361.92,1
345206,3,3,2373,11217,20067.13,210.26,0
263753,3,2.5,1826,4266,2087.25,139.77,0
166123,2,2.5,1192,6143,1300.51,98.68,0
142018,4,2.5,2156,5042,15770.29,3339.13,0
160545,3,2,1229,6031,13956.98,1836.18,0
127238,4,2,1446,7471,24001.41,754.15,0
117747,3,1.5,1396,8400,9773.05,1809.25,0
145095,4,2.5,2075,5704,13658.69,372.94,0
602311,5,3.5,2798,14968,8063.29,251.05,1
350612,4,3,2896,47024,25368.27,193.13,0
211361,3,2,1873,6881,10048.07,390.29,0
194467,4,2,1701,5331,23409.25,459.13,0
153832,3,2.5,1660,2909,22389.87,1220.87,0
129375,3,2,1555,9943,23910.5,116.7,0
116019,3,2,1563,7475,9909.45,1196.8,0
119786,4,2.5,1831,5581,16563.78,5122.68,0
274178,5,2.5,2652,6873,2778.43,497.23,0
107243,3,2,1759,13559,13030.29,48.2,0
161647,2,2,1796,9004,13318.16,762.07,0
137695,3,2,1400,6050,12829.2,4541.09,0
94183,4,2,1584,9998,9031.67,1054.41,0
83852,3,2,1194,5001,12455.13,4204.3,0
46419,2,1,720,8156,20315.76,1649.13,0
1124076,4,4,4176,14963,5694.37,227.94,1
102826,3,2,1619,8775,7541.33,396.5,0
147361,3,2,1727,5000,20066.61,895.21,0
93694,3,1.5,1003,8892,6748.08,395.05,0
107254,3,1,1080,7349,5972,462.98,0
160977,5,2.5,1792,5750,21121.71,1782.42,0
196518,4,2.5,2042,6466,23488.68,474.07,0
110614,3,2,1276,5505,9866.54,583.93,0
420291,4,4,3410,10625,29539.54,2390.55,1
166824,3,2,1662,13978,18805.54,2124.65,0
132979,3,2,1578,9200,13090.55,74.31,0
773386,4,4,4851,30716,14594.53,267.42,1
169856,3,2.5,1660,1883,22427.78,1290.21,0
173390,3,2.5,1923,4598,17691.31,1340.86,0
160792,4,2,1928,7499,11382.38,213.31,0
342704,3,2.5,2320,11652,7124.72,472.52,1
110039,3,2,1297,5920,12122.03,383.14,0
220393,3,2,1638,12728,16753.48,50.02,0
89834,3,2,1422,10418,9013.4,1734.66,0
120579,4,1,1678,16987,8286.5,350.48,0
917095,4,4.5,3128,10376,7866.28,129.07,1
165694,3,2,1708,6326,10982.02,425.82,0
134068,4,2,1699,9133,5625.38,648.33,0
187200,4,2,2232,14978,24092.54,918.27,0
206256,4,3,2760,9376,13927.58,709.86,0
350704,3,2,2140,29281,6358.71,46.53,0
292692,5,2,1980,10456,7454.46,140.33,0
138735,3,3,1453,2875,23646.25,696.75,0
132554,4,2,1671,8842,15160.89,598.48,0
253787,3,3,2332,6547,19257.12,716.4,0
96462,3,2,1163,3577,21078.52,4899.06,0
106093,3,2,1246,3240,20548.29,5869.34,0
107139,3,2.5,1312,5491,18276.85,1889.42,0
214276,4,3,2794,6600,21583.85,691.86,0
218174,3,2.5,1979,9721,11033.68,1050.27,1
192174,3,2.5,2054,2986,3044.07,321.2,0
166369,4,2,1918,5251,18438.61,5506.83,1
253970,4,2.5,2130,5623,18373.35,2096.29,1
518804,6,4,5294,20553,20656.47,6684.71,1
513519,4,3,3820,15833,18966.42,418.85,0
189339,4,2,2598,9230,16931.5,5711.16,1
145180,4,3,1898,8193,7022.51,87.39,0
268504,4,3,2142,7992,20744.37,3153.48,0
389622,4,3.5,3738,44549,36107.56,979.08,1
142107,3,2,1672,10498,20908.47,501.49,0
240811,4,3,2382,11605,8556.34,582.59,1
208905,5,2.5,2705,6788,12788.36,4516.72,0
144073,3,2,1948,5500,25057.55,1557.8,0
114108,3,2,1330,10019,6959.85,564.54,0
222277,3,3,1892,12056,13348.98,892.51,0
89186,4,1.5,1370,7110,19226.9,1299.52,0
199228,4,2,1874,7201,15613.24,281.75,1
106579,3,2,1345,6282,15996.02,3948.88,0
204947,3,2,1645,16271,8586.52,388.64,0
149286,2,2,2852,14402,22720.49,136.34,0
148541,4,2,1732,8046,12752.72,672.27,0
210650,4,3,2282,10193,14662.26,393.94,1
78240,3,2,1199,8607,9193.89,844.99,0
193527,4,2,2108,7986,20195.35,188.24,0
119774,3,2,1392,6756,9712.68,1673.26,0
170224,2,1,1160,7450,2519.35,671.68,0
159833,3,2,1783,5777,18812.96,4615.15,0
153242,4,2,2075,7177,17241.79,373.87,0
69080,3,1.5,1296,16729,28491.11,206.92,0
110210,3,2,1264,8221,21673.97,688.37,0
199048,3,2,1438,8653,5155.83,223.14,0
144763,3,2,1729,8250,12119.51,3956.56,0
614854,3,2,2400,58457,18847.56,80.67,0
247083,5,3,2824,28899,25751.96,1224.91,1
91537,3,2,1112,6202,8130.73,1707.42,0
112020,3,1.5,1311,8639,3733.29,260.84,0
120424,3,2,1628,10125,14846.21,35.49,0
199921,4,2,2406,7826,13483.32,5272.62,0
152633,3,2,1644,5321,21123.5,1180.57,0
108748,3,2,1420,5536,21369.74,4358.33,0
244032,4,3,2520,12494,17995.07,211.61,1
213893,4,2.5,2947,5047,14509.62,3911.51,0
127771,3,2,1860,9713,17472.81,624.74,0
84188,3,2,1440,11193,8386.56,1827.97,1
135785,3,2,1801,10144,13057.25,261.39,0
99229,2,1,720,9020,2355.24,444.62,0
1005953,4,5,6252,26159,16847.24,34.77,1
154354,4,2,1913,7658,13683.59,3982.42,0
111564,3,2,1434,11025,5116.35,433.63,0
161250,2,1,1125,8140,2877.78,365,0
153182,5,2,3363,42449,23856.42,424.21,1
113485,3,2,1782,10732,12687.26,405.77,0
94784,3,2,1246,3240,20707.8,5869.04,0
